id,title,description,categories,tags,image,price,weight,pieces,label,my_order,created_at,updated_at
107,Монтанара 32 см,"Тісто, соус, моцарелла, шинка, помідор, маслини, кукурудза, трави.",7,,монтанара.jpg,119.0,550,8,,114,2018-04-10 20:09:33,2018-10-23 23:38:05
186,М'ясна  50 см,"Тісто, соус, моцарелла, салямі, шинка, баварські ковбаски, трави, пармезан.",8,,450_50_см1.jpg,230.0,1000,8,2,115,2018-07-21 11:16:22,2018-10-23 22:09:58
108,Чотири м'яса 50 см,"Тісто, соус, моцарелла, салямі, бекон, шинка, курка, корнішони, зелена цибуля, трави",8,,4_мяса_nB5olBu.jpg,235.0,1000,8,,116,2018-04-10 20:14:38,2018-10-23 22:19:26
109,Кватро формаджі 50 см,"Тісто, соус, моцарелла, вершки, сир рікотта, сир дор блю, пармезан, трави.",8,,4_сири_NiQPhJv.jpg,260.0,1000,8,,117,2018-04-10 20:16:32,2018-06-10 13:39:59
110,Вегетаріанська 50 см,"Тісто, соус, моцарелла, оливки, помідор, початки кукурудзи, шампіньйони, трави.",8,,вегеріанська_fv9lw59.jpg,210.0,1100,8,,118,2018-04-10 20:19:31,2018-10-23 22:21:02
111,З лососем 50 см,"Тісто, моцарелла, вершки, лосось копчений, маслини, лимон, трави.",8,1,аль_сальмоне_SamNppW.jpg,309.0,870,8,,119,2018-04-10 20:25:17,2018-07-17 15:55:09
112,Вітелія 50 см,"Тісто, моцарелла, вершки, шинка, чорнослив, ананас, трави.",8,,вітелія_EPiJqHs.jpg,210.0,950,8,,120,2018-04-10 20:29:26,2018-10-23 22:21:40
113,Грибна 50 см,"Тісто, соус, моцарелла, шампіньйони, опеньки, оливки, маслини, трави.",8,,грибна_249LE9N.jpg,210.0,1000,8,,121,2018-04-10 20:34:31,2018-10-23 22:18:19
114,Дитяча 50 см,"Тісто, соус, моцарелла, кукурудза, курка, помідор.",8,,дитяча_jEZtxOv.jpg,210.0,1000,8,,122,2018-04-10 20:35:40,2018-10-23 22:17:29
115,Диявола 50 см,"Тісто, соус, моцарелла, чорізо, перець чілі, трави.",8,,диявола_cXE8EaB.jpg,220.0,950,8,1,123,2018-04-10 20:36:59,2018-10-23 22:29:41
116,Гавайська 50 см,"Тісто, соус, моцарелла, вершки, курка, ананас.",8,,гавайська_78LBv5B.jpg,210.0,1000,8,,124,2018-04-10 20:58:17,2018-10-23 22:22:16
118,Італьяні 50 см,"Тісто, соус, моцарелла, помідор, шинка, курка, бекон, салямі, перець болгарський, шампіньйони, трави.",8,,італьяні_9JEsNTC.jpg,235.0,1100,8,3,125,2018-04-10 21:01:20,2018-10-23 22:31:11
119,Капрічоза 50 см,"Тісто, соус. моцарелла, шинка, помідор, шампіньйони, трави.",8,,капричоза_1Sj1Q5q.jpg,210.0,1000,8,,126,2018-04-10 21:02:57,2018-10-23 22:16:44
120,Квінта філона 50 см,"Тісто, соус, моцарелла, помідор, бекон,  курка,  оливки, трави.",8,,квінта_філона_tahzbkP.jpg,215.0,1000,8,,127,2018-04-10 21:04:29,2018-10-23 22:23:00
121,Фруті де маре 50 см,"Тісто, соус, моцарелла, морський коктейль,  помідорки чері, лимон, трави.",8,,фруті_де_маре_EkuceKq.jpg,245.0,1000,8,,128,2018-04-10 21:05:54,2018-10-23 23:32:08
122,Ріва коста 50 см,"Тісто, моцарелла, вершки, вугор, креветки, цибуля порей, лимон, трави",8,,ріва_коста_DiHfU2W.jpg,399.0,960,8,,129,2018-04-10 21:07:16,2018-06-10 14:12:48
123,Селянська 50 см,"Тісто, соус, моцарелла, салямі, картопля фрі, помідорки чері, цибуля зелена, трави.",8,,селянська_SZUB00T.jpg,220.0,900,8,,130,2018-04-10 21:12:43,2018-10-23 22:28:02
124,Марінара 50 см,"Тісто, соус, моцарелла, шампіньйони, курка, помідор, пармезан, трави.",8,,марінара_O7udY6p.jpg,210.0,1000,8,,131,2018-04-10 21:14:29,2018-10-23 22:11:18
